,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
1293,PS003.,LOT & HOUSE,71 PUMPHOUSE SOUTH,284700,0.75
1294,RS307.,LAND & HOUSE,2911 US ROUTE 2 SOUTH,118100,10.1
1295,PP004.,LOT & BUILDING,62 PETERSON PLACE,131400,0.23
1296,PP006.,LOT & BUILDING,47 PETERSON PLACE,157600,0.29
1297,PS007.,LOT & HOUSE,77 PUMPHOUSE SOUTH,177100,0.3
1298,RS410.,LAND & MHOME,3888 US ROUTE 2 SOUTH,121400,10.3
1299,WS006.,LOT & HOUSE,30 WEST SHORE RD,234600,0.94
1300,SM063.,LOT & HOUSE,599 SOUTH MAIN,96600,0.34
1301,CS016.,LOT & HOUSE,96 CLELAND SOUTH,174000,0.17
1302,GP060.,2007 EVEREST,60 GOOSEPOINT  CAMPGROUND,12800,
1303,SM037.,LOT & HOUSE,349 SOUTH MAIN,128900,0.31
1304,WW136.,LOT & HOUSE,1348 WINDMILL POINT RD,537200,0.92
1305,ATC30.,2018 FIFTH WHEEL,30 ALBURGH  RV  RESORT,20800,
1306,RS462.,LAND,462 US ROUTE 2 SOUTH,89900,43.61
1307,RS466.,LAND & MHOME,4360 US ROUTE 2 SOUTH,115400,3.39
1308,AS013.,LOT & MHOME,123 ACADEMY STREET,83400,0.25
1309,RS548.,LOT,548 US ROUTE 2 SOUTH,35100,0.88
1310,ATD11.,2000 FLEETWOOD,11D ALBURGH  RV RESORT,3500,
1311,LW002.,LOT & HOUSE,24 LITTLE WOODS ROAD,189100,1.0
1312,CH016.,FARM & HOUSE,146 CHAMPLAIN STREET,363800,250.5
1313,WS069.,FARM & HOUSE,639 WEST SHORE RD,1130200,246.5
1314,GP090.,2005 TRAIL BAY,90 GOOSEPOINT CAMPGROUND,7000,
1315,TR047.,LOT & MHOME,459 TRUCK ROUTE,114100,3.41
1316,EA004.,LAND & MHOME,4 EAST ALBURGH  RD,76100,2.5
1317,GP036.,2019 TRAIL BAY,36 GOOSEPOINT  CAMPGROUND,36000,
1318,CP050.,HOUSE,444 PALMERS SAND BEACH ROAD,196800,
1319,RS669.,LAND & HOUSE,6359 US ROUTE 2 SOUTH,647100,4.32
1320,ATB08.,2019 SPORTSMAN,8B ALBURGH  RV RESORT,25000,
1321,BT004.,MHOME,4 BRULEY TRAILER PRK,6700,
1322,BK001.,LAND & HOUSE,180 BUCK LANE,315700,16.4
1323,SM024.,LOT & HOUSE,182 SOUTH MAIN,100600,0.17
1324,SM028.,LOT & BUILDING,214 SOUTH MAIN,160200,0.75
1325,JL003.,LOT & HOUSE,39 JARVIS LANE,137200,0.59
1326,GR014.,LOT & HOUSE,3899 GREENWOODS ROAD,131700,0.95
1327,MT032.,LOT & HOUSE,306 MOTT STREET NORTH,215000,0.27
1328,CM031.,LOT & HOUSE,314 CAMERON DRIVE,168100,2.27
1329,SA151.,LOT & HOUSE,1389 ALBURGH  SPRINGS ROAD,227000,1.0
1330,GR086.,LAND & HOUSE,3187 GREENWOODS ROAD,238500,10.0
1331,MC002.,LOT & HOUSE,151 MOTT STREET,190600,1.18
1332,WS024.,LOT & HOUSE,228 WEST SHORE RD,195600,0.38
1333,HI026.,LOT & HOUSE,26 HILLTOP ROAD,127300,0.74
1334,LR042.,LAND & HOUSE,1477 LINE ROAD,262200,4.4
1335,SA285.,LAND,2659 ALBURGH  SPRINGS ROAD,112500,120.0
1336,RS458.,LAND & HOUSE,4338 US ROUTE 2 SOUTH,227200,14.97
